Time,Sortie PID,Sortie PID Arrondie,Regulation,Température Pièce,Température Consigne, Wh
ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, OFF, OFF, OFF, OFF, OFF, OFF
0,67.6,70,1,10,23,5.55556
10,67.6,70,1,10.3367,23,11.1111
20,67.6,70,1,10.6734,23,16.6667
30,67.6,70,1,11.0101,23,22.2222
40,67.6,70,1,11.3468,23,27.7778
50,67.6,70,1,11.6835,23,33.3333
60,67.6,70,1,12.0202,23,38.8889
70,67.6,70,1,12.3569,23,44.4444
80,67.6,70,1,12.6936,23,50
90,67.6,70,1,13.0303,23,55.5556
100,67.6,70,1,13.367,23,61.1111
110,67.6,70,1,13.7037,23,66.6667
120,67.6,70,1,14.0405,23,72.2222
130,67.6,70,1,14.3772,23,77.7778
140,67.6,70,0,14.7139,23,77.7778
150,67.6,70,0,14.7039,23,77.7778
160,67.6,70,0,14.6939,23,77.7778
170,67.6,70,0,14.6838,23,77.7778
180,67.6,70,0,14.6738,23,77.7778
190,67.6,70,0,14.6638,23,77.7778
ON, ON, ON, ON, ON, ON, ON, ON, ON, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF
200,43.4001,45,1,14.6538,23,83.3333
210,43.4001,45,1,14.9905,23,88.8889
220,43.4001,45,1,15.3272,23,94.4444
230,43.4001,45,1,15.6639,23,100
240,43.4001,45,1,16.0007,23,105.556
250,43.4001,45,1,16.3374,23,111.111
260,43.4001,45,1,16.6741,23,116.667
270,43.4001,45,1,17.0108,23,122.222
280,43.4001,45,1,17.3475,23,127.778
290,43.4001,45,0,17.6842,23,127.778
300,43.4001,45,0,17.6742,23,127.778
310,43.4001,45,0,17.6642,23,127.778
320,43.4001,45,0,17.6542,23,127.778
330,43.4001,45,0,17.6442,23,127.778
340,43.4001,45,0,17.6342,23,127.778
350,43.4001,45,0,17.6242,23,127.778
360,43.4001,45,0,17.6142,23,127.778
370,43.4001,45,0,17.6042,23,127.778
380,43.4001,45,0,17.5942,23,127.778
390,43.4001,45,0,17.5842,23,127.778
ON, ON, ON, ON, ON, ON, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF, OFF
400,29.514,30,1,17.5742,23,133.333
410,29.514,30,1,17.9109,23,138.889
420,29.514,30,1,18.2476,23,144.444
430,29.514,30,1,18.5843,23,150
440,29.514,30,1,18.9211,23,155.556
